"id";"date";"truck_id";"nbags";"net_weight";"origin";"supplier";"moisture";"nut_count";"outturn";"defective";"price";"year";"month";"day";"avg_wpb"
1;"2015-03-05";1;567;40597;66;119;11.3;191.0;48.4;10.25;"";2015;3;5;71.59964726631394
2;"2015-03-09";2;226;20253;82;123;12.6;184.0;48.22;8.9;"";2015;3;9;89.61504424778761
3;"2015-03-10";3;506;38878;51;15;10.1;194.0;45.76;10.9;"";2015;3;10;76.83399209486166
4;"2015-03-11";4;422;39354;47;66;10.0;183.0;48.93;9.1;"";2015;3;11;93.25592417061611
5;"2015-03-11";5;555;40009;66;119;11.3;193.0;46.29;12.65;"";2015;3;11;72.08828828828828
6;"2015-03-12";6;485;40819;31;15;9.3;183.0;45.58;11.7;"";2015;3;12;84.16288659793814
7;"2015-03-12";7;453;40751;52;53;12.3;191.0;47.78;10.6;"";2015;3;12;89.95805739514348
8;"2015-03-12";8;430;40218;6;19;10.7;188.0;48.75;7.85;"";2015;3;12;93.53023255813953
9;"2015-03-13";9;385;35383;9;84;9.9;179.0;48.31;8.25;"";2015;3;13;91.9038961038961
10;"2015-03-13";10;389;34511;66;122;13.3;195.0;47.43;12.35;"";2015;3;13;88.7172236503856
11;"2015-03-14";11;441;39947;76;66;9.76;200.0;47.34;10.75;"";2015;3;14;90.58276643990929
12;"2015-03-16";9;390;35866;9;84;11.8;177.0;46.64;10.4;"";2015;3;16;91.96410256410256
13;"2015-03-16";12;378;34950;9;75;9.88;189.0;48.58;9.2;"";2015;3;16;92.46031746031746
14;"2015-03-16";13;489;37155;66;119;8.36;198.0;48.66;8.0;"";2015;3;16;75.98159509202453
15;"2015-03-16";14;423;39093;78;15;11.47;175.0;46.73;11.0;"";2015;3;16;92.41843971631205
16;"2015-03-18";15;397;38039;52;53;11.4;176.0;48.22;9.0;"";2015;3;18;95.816120906801
17;"2015-03-19";16;206;18878;76;83;15.0;185.0;48.75;9.65;"";2015;3;19;91.64077669902913
18;"2015-03-19";9;436;35116;9;84;11.6;188.0;48.22;7.4;"";2015;3;19;80.54128440366972
19;"2015-03-19";17;454;40362;53;123;11.8;175.0;47.08;9.1;"";2015;3;19;88.90308370044053
20;"2015-03-19";18;466;40654;19;123;13.6;172.0;46.72;10.8;"";2015;3;19;87.24034334763948
21;"2015-03-19";19;387;34769;9;75;9.13;177.0;48.49;7.5;"";2015;3;19;89.8423772609819
22;"2015-03-23";19;380;34380;9;75;12.86;176.0;47.43;9.45;"";2015;3;23;90.47368421052632
23;"2015-03-23";20;516;41300;11;14;7.3;178.0;49.01;8.1;"";2015;3;23;80.03875968992249
24;"2015-03-23";21;412;34936;60;118;15.0;166.0;45.94;10.45;"";2015;3;23;84.79611650485437
25;"2015-03-23";22;468;35940;66;119;9.8;193.0;48.31;9.5;"";2015;3;23;76.7948717948718
26;"2015-03-23";9;434;34950;9;84;11.3;174.0;47.87;8.7;"";2015;3;23;80.52995391705069
27;"2015-03-23";23;397;35111;9;84;11.8;165.0;47.78;7.8;"";2015;3;23;88.44080604534005
28;"2015-03-23";24;367;36093;3;19;8.73;180.0;44.61;13.4;"";2015;3;23;98.34604904632153
29;"2015-03-23";25;306;26238;41;21;13.8;182.0;43.29;15.8;"";2015;3;23;85.74509803921569
30;"2015-03-23";26;403;36869;55;117;7.1;204.0;47.25;7.6;"";2015;3;23;91.4863523573201
31;"2015-03-24";27;447;39981;19;54;13.33;175.5;44.97;14.8;"";2015;3;24;89.44295302013423
32;"2015-03-24";28;445;39571;9;75;11.4;177.0;48.14;7.9;"";2015;3;24;88.92359550561798
33;"2015-03-25";14;448;39500;78;111;19.0;168.0;46.46;9.95;"";2015;3;25;88.16964285714286
34;"2015-03-25";29;457;40571;20;17;16.0;170.0;46.81;13.0;"";2015;3;25;88.77680525164114
35;"2015-03-25";30;504;45140;75;14;9.6;192.0;45.23;9.4;"";2015;3;25;89.56349206349206
36;"2015-03-25";23;411;35261;9;84;16.73;177.0;47.34;9.15;"";2015;3;25;85.79318734793188
