"supplier_id";"name"
4;"Supplier-4"
7;"Supplier-7"
8;"Supplier-8"
9;"Supplier-9"
10;"Supplier-10"
12;"Supplier-12"
14;"Supplier-14"
15;"Supplier-15"
16;"Supplier-16"
17;"Supplier-17"
18;"Supplier-18"
19;"Supplier-19"
20;"Supplier-20"
21;"Supplier-21"
26;"Supplier-26"
27;"Supplier-27"
28;"Supplier-28"
29;"Supplier-29"
31;"Supplier-31"
32;"Supplier-32"
33;"Supplier-33"
34;"Supplier-34"
35;"Supplier-35"
36;"Supplier-36"
38;"Supplier-38"
39;"Supplier-39"
40;"Supplier-40"
41;"Supplier-41"
42;"Supplier-42"
43;"Supplier-43"
44;"Supplier-44"
45;"Supplier-45"
46;"Supplier-46"
47;"Supplier-47"
48;"Supplier-48"
49;"Supplier-49"
50;"Supplier-50"
51;"Supplier-51"
52;"Supplier-52"
53;"Supplier-53"
54;"Supplier-54"
55;"Supplier-55"
56;"Supplier-56"
58;"Supplier-58"
59;"Supplier-59"
60;"Supplier-60"
61;"Supplier-61"
62;"Supplier-62"
63;"Supplier-63"
65;"Supplier-65"
66;"Supplier-66"
70;"Supplier-70"
72;"Supplier-72"
73;"Supplier-73"
74;"Supplier-74"
75;"Supplier-75"
78;"Supplier-78"
79;"Supplier-79"
80;"Supplier-80"
81;"Supplier-81"
82;"Supplier-82"
83;"Supplier-83"
84;"Supplier-84"
86;"Supplier-86"
88;"Supplier-88"
89;"Supplier-89"
91;"Supplier-91"
92;"Supplier-92"
93;"Supplier-93"
94;"Supplier-94"
95;"Supplier-95"
96;"Supplier-96"
97;"Supplier-97"
98;"Supplier-98"
99;"Supplier-99"
100;"Supplier-100"
101;"Supplier-101"
102;"Supplier-102"
103;"Supplier-103"
104;"Supplier-104"
105;"Supplier-105"
107;"Supplier-107"
108;"Supplier-108"
109;"Supplier-109"
110;"Supplier-110"
111;"Supplier-111"
112;"Supplier-112"
113;"Supplier-113"
114;"Supplier-114"
115;"Supplier-115"
116;"Supplier-116"
117;"Supplier-117"
118;"Supplier-118"
119;"Supplier-119"
120;"Supplier-120"
121;"Supplier-121"
122;"Supplier-122"
123;"Supplier-123"
124;"Supplier-124"
125;"Supplier-125"
126;"Supplier-126"
127;"Supplier-127"
128;"Supplier-128"
132;"Supplier-132"
